Scanner ID;Sensor ID
101;I1
102;I2
103;I3
104;I4
105;I5
106;I6
107;I7
108;I8
109;I9
110;I10
111;I11
112;I12
113;W1
114;W2
115;W3
116;W4
117;W5
118;W6
119;W7
120;W8
121;W9
122;W10
123;E6
124;E4
125;E5
126;S3
127;S4
128;B2
129;B3
130;B4
131;Ndef131
132;Ndef132
201;B1
202;B5
203;B6
204;B7
205;S1
206;S2
207;J1
208;J2
209;J3
210;J4
211;J5
212;J6
213;J7
214;J8
215;J9
216;J10
217;G1
218;G2
219;G3
220;G4
221;G5
222;G6
223;G7
224;G8
225;G9
226;G10
227;G11
228;G12
229;E2
230;E3
231;E1
232;Ndef232
301;B8
302;B9
303;B10
304;B11
305;B12
306;B13
307;B14
308;B15
309;B16
310;B17
311;B18
312;B19
313;B20
314;B21
315;B22
316;B23
317;B24
318;B25
319;B26
320;B27
321;C1
322;C2
323;C3
324;C4
325;C5
326;C6
327;C7
328;C8
329;C9
330;C10
331;Ndef331
332;Ndef332
401;A1
402;A2
403;A3
404;A4
405;A5
406;A6
407;A7
408;A8
409;A9
410;A10
411;A11
412;A12
413;A13
414;A14
415;A15
416;A16
417;A17
418;A18
419;A19
420;A20
421;A21
422;A22
423;D1
424;D2
425;D3
426;D4
427;D5
428;D6
429;D7
430;D8
431;D9
432;D10
